season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Las Vegas Grand Prix,ALB,104.708,7.182790683,99.629,2,94.425,5,SOFT,,0
2024,Las Vegas Grand Prix,ALO,109.3794762,12.27358643,95.44,21,94.258,5,SOFT,2.003113492,0
2024,Las Vegas Grand Prix,BOT,109.7882917,14.89112053,95.02,24,94.43,7,SOFT,2.859199784,0
2024,Las Vegas Grand Prix,COL,107.8644074,11.44369422,95.868,27,93.746,9,SOFT,0.95769127,0
2024,Las Vegas Grand Prix,GAS,108.127963,12.70816323,94.651,27,92.664,24,SOFT,1.706458314,0
2024,Las Vegas Grand Prix,HAM,111.9476,17.64114469,93.825,20,92.567,17,SOFT,2.363616667,0
2024,Las Vegas Grand Prix,HUL,107.7427368,14.44582983,94.818,19,93.062,16,SOFT,3.648295455,0
2024,Las Vegas Grand Prix,LAW,109.8141,15.96389564,95.671,20,94.087,9,SOFT,1.937624026,0
2024,Las Vegas Grand Prix,LEC,106.7134,13.83041255,94.313,25,92.783,22,SOFT,3.423368687,0
2024,Las Vegas Grand Prix,MAG,111.0412667,16.25287381,94.686,15,93.297,11,SOFT,6.4946,0
2024,Las Vegas Grand Prix,NOR,108.64185,14.47168046,93.836,20,93.008,19,SOFT,0.781257143,0
2024,Las Vegas Grand Prix,OCO,106.4825,11.94399767,95.221,22,93.221,17,SOFT,2.024065296,0
2024,Las Vegas Grand Prix,PER,107.11625,11.8813083,96.055,20,94.155,9,SOFT,0.4915579,0
2024,Las Vegas Grand Prix,PIA,108.7559091,15.078207,94.798,22,93.024,13,SOFT,1.765595238,0
2024,Las Vegas Grand Prix,RUS,106.5433043,14.11411253,94.015,23,92.312,24,SOFT,0.474945238,0
2024,Las Vegas Grand Prix,SAI,108.35312,13.35142322,94.105,25,92.41,23,SOFT,1.033178788,0
2024,Las Vegas Grand Prix,STR,107.8655,12.69578908,95.251,24,94.484,2,SOFT,0.741210317,0
2024,Las Vegas Grand Prix,TSU,111.859,18.56128316,94.997,19,93.029,24,SOFT,3.95629697,0
